Retriever,Faithfulness,Relevancy,Precision,Recall,Queries,Dataset,Δ Faithfulness,Δ Relevancy,Δ Precision,Δ Recall
Base,0.1381666666666667,0.22591666666666663,0.02291666666666667,0.04766666666666667,12,reasoning,,,,
Hybrid+Rerank,0.1374166666666667,0.23183333333333334,0.02291666666666667,0.04766666666666667,12,reasoning,-0.1%,+0.6%,+0.0%,+0.0%
