Retriever,Faithfulness,Relevancy,Precision,Recall,Queries,Dataset,Δ Faithfulness,Δ Relevancy,Δ Precision,Δ Recall
Base,0.16546666666666668,0.2166666666666667,0.0392,0.06686666666666666,15,simple,,,,
Hybrid+Rerank,0.1612666666666667,0.22033333333333338,0.0392,0.06686666666666666,15,simple,-0.4%,+0.4%,+0.0%,+0.0%
