Retriever,Faithfulness,Relevancy,Precision,Recall,Queries,Dataset,Δ Faithfulness,Δ Relevancy,Δ Precision,Δ Recall
Base,0.15573333333333333,0.23173333333333332,0.038933333333333334,0.06686666666666666,15,simple,,,,
Hybrid+Rerank,0.16153333333333333,0.22673333333333331,0.0392,0.06686666666666666,15,simple,+0.6%,-0.5%,+0.0%,+0.0%
